Music Rehearsal Space_rank,Recording Studio_rank,name,phone,address,website,location,search_datetime,neighborhood,email,extra_phones,social_links,categories,hour_category,other_info,detailed_hours,slogan,general_info,yp_url,space_image
,4,Entourage Entertainment Inc.,(980) 207-4712,"5509 Monroe Rd, Charlotte, NC 28212",,"Charlotte, NC",2024-01-23 20:31:55,East Forest,entouragecharlotte@gmail.com,Phone:  (704) 733-7703,,"Recording Service-Sound & Video, Recording Studio Equipment",Regular Hours,,Mon - Fri: 8:00 am - 8:00 pm,,,http://www.yellowpages.com/charlotte-nc/mip/entourage-entertainment-inc-22394719,https://i3.ypcdn.com/blob/a10179630c7466f07430d65ffbc3133289edaf60_228x168_crop.jpg
,5,Around Sound Studios,(704) 578-1417,"3801 Rea Rd., Charlotte, NC 28226",http://aroundsoundstudios.com,"Charlotte, NC",2024-01-23 20:31:55,"Olde Providence South, Wessex Square",,,,"Recording Service-Sound & Video, Music Instruction-Instrumental",Regular Hours,,Mon - Sun: 9:00 am - 9:00 pm,,"RECORDING STUDIO:Recording, mixing, and mastering services for Demos, Songwriters, Collaboration, Voice-Over, and Soundtrack projects.GUITAR LESSONS:Currently accepting new students.",http://www.yellowpages.com/charlotte-nc/mip/around-sound-studios-482449492,https://i4.ypcdn.com/blob/1915e9e1b38077cafa6984839ead958b7fffe72d_228x168_crop.jpg
,6,Nuance Language Services,(980) 224-5480,"3020-I Prosperity Church #420, Charlotte, NC 28269",http://www.nuancels.com,"Charlotte, NC",2024-01-23 20:31:55,Prosperity Church Road,,TollFree:  (888) 224-4880,,"Recording Service-Sound & Video, Desktop Publishing Service, Printing Services, Transcription Services, Translators & Interpreters",Regular Hours,,Mon - Fri: 9:00 am - 5:00 pm,The nuance matters.,"Nuance Language Services is a different kind of language services provider. What makes us different? We understand the subtle nuances of the culture of languages and get it right the first time. We provide excellent, quality services at competitive prices. We have more than eight years of experience in the language industry. This experience allows us to provide you with state-of-the-art expert services using the latest technology.  
 
Nuance also has a strong social consciousness. We aim to be virtually  paperless and pledge to follow earth-friendly processes in order to be as environmentally sensitive as possible. At Nuance Language Services, we get the finer nuances.",http://www.yellowpages.com/charlotte-nc/mip/nuance-language-services-482433829,
,7,Gat 3 Productions,(704) 525-5552,"655 Pressley Rd Ste E, Charlotte, NC 28217",http://www.gat3.com,"Charlotte, NC",2024-01-23 20:31:55,Clanton Park - Roseland,susan@gat3.com,,,"Recording Service-Sound & Video, Studio Rental",Regular Hours,,Mon - Sun: 10:00 am - 12:00 am,,,http://www.yellowpages.com/charlotte-nc/mip/gat-3-productions-542196125,
,8,Loco Sound & Recording Inc,(704) 845-9161,"1421 Orchard Lake Dr, Charlotte, NC 28270",,"Charlotte, NC",2024-01-23 20:31:55,,,,,"Recording Service-Sound & Video, Studio Rental",,,,,,http://www.yellowpages.com/charlotte-nc/mip/loco-sound-recording-inc-482970617,
,9,Indian Land Recording Studios,(704) 604-6560,"201 N College St, Charlotte, NC 28202",http://everettwatson.net,"Charlotte, NC",2024-01-23 20:31:55,"First Ward, Uptown",info@everettwatson.net,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/charlotte-nc/mip/indian-land-recording-studios-510061889,
,10,Carolina Recording Systems Inc,(704) 799-8526,"200 Dalton Ave, Charlotte, NC 28206",https://crsnc.com,"Charlotte, NC",2024-01-23 20:31:55,,,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/charlotte-nc/mip/carolina-recording-systems-inc-540137228,
,11,Roubicon Sounds,(980) 900-8298,"1111 Hawthorne Ln, Charlotte, NC 28205",,"Charlotte, NC",2024-01-23 20:31:55,,roubiconsoundz@gmail.com,,,Recording Service-Sound & Video,Regular Hours,,Mon - Sun: 11:00 am - 11:00 pm,,,http://www.yellowpages.com/charlotte-nc/mip/roubicon-sounds-568371366,
,12,Abba Studios Audio Video Services,(704) 347-5009,"1121 Hawthorne Ln, Charlotte, NC 28205",,"Charlotte, NC",2024-01-23 20:31:55,Belmont,,,,"Recording Service-Sound & Video, Audio-Visual Production Services, Video Production Services",,,,,,http://www.yellowpages.com/charlotte-nc/mip/abba-studios-audio-video-services-497700307,
,13,Fireant Music,(704) 335-1400,"2009 Ashland Ave, Charlotte, NC 28205",http://fireantmusic.com,"Charlotte, NC",2024-01-23 20:31:55,Plaza Midwood,,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/charlotte-nc/mip/fireant-music-27792710,
,14,Grindhaus Studio,(980) 335-1855,"3711 Latrobe Dr, Charlotte, NC 28211",https://www.grindhausstudios.com/privacy-notice,"Charlotte, NC",2024-01-23 20:31:55,Grier Heights,,,,Recording Service-Sound & Video,Regular Hours,,Wed - Sun: 12:00 pm - 10:00 pm,,,http://www.yellowpages.com/charlotte-nc/mip/grindhaus-studio-561344002,
,15,Biltmore Records Inc,(980) 254-4847,"PO Box 19408, Charlotte, NC 28219",https://www.biltmorerecords.com,"Charlotte, NC",2024-01-23 20:31:55,,,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/charlotte-nc/mip/biltmore-records-inc-483667933,
,16,Audio Works Sound Studio,(704) 301-4956,"226 Westinghouse Blvd, Charlotte, NC 28273",http://www.audioworkssound.com,"Charlotte, NC",2024-01-23 20:31:55,,,,,"Recording Service-Sound & Video, Video Production Services",Regular Hours,,Mon - Sat: 9:00 am - 9:00 pm,,,http://www.yellowpages.com/charlotte-nc/mip/audio-works-sound-studio-537589471,
,17,Violatorsouth,(980) 277-0186,"6417 Baltray Rd, Charlotte, NC 28278",https://www.violatorsouth.com,"Charlotte, NC",2024-01-23 20:31:55,,,,,Recording Service-Sound & Video,Regular Hours,,Mon - Sun: Open 24 Hours,,,http://www.yellowpages.com/charlotte-nc/mip/violatorsouth-564322002,
,18,Violator South,(980) 277-0186,"10660 South Tryon St Unit 21, Charlotte, NC 28273",http://violatorsouth.com,"Charlotte, NC",2024-01-23 20:31:55,,,,,"Recording Service-Sound & Video, Management Consultants, Video Production Services, Video Production Services-Commercial",Regular Hours,,Mon - Sun: 8:00 am - 12:00 am,,,http://www.yellowpages.com/charlotte-nc/mip/violator-south-538773689,
,19,Indian Land Studios,(704) 604-6560,"Charlotte, NC 28262",,"Charlotte, NC",2024-01-23 20:31:55,,,,,Recording Service-Sound & Video,,,,Charlotte's best recording studio.,,http://www.yellowpages.com/charlotte-nc/mip/indian-land-studios-495759988,
,20,Jake's Place,(704) 525-6700,"Charlotte, NC 28217",,"Charlotte, NC",2024-01-23 20:31:55,,,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/charlotte-nc/mip/jakes-place-466569474,
,21,Sound Lab Mastering,(704) 222-2041,"14100 South Lakes Dr, Charlotte, NC 28273",http://www.soundlabmastering.com,"Charlotte, NC",2024-01-23 20:31:55,Yorkshire,soundlabmastering@gmail.com,,,"Recording Service-Sound & Video, Music Instruction-Instrumental, Music Producers, Musicians",,,,,"Sound Lab Mastering is the premier Audio Mastering studio in North Carolina. With the highest quality results at a price that fits any budget, your music will sound better than it ever has without breaking the bank.",http://www.yellowpages.com/charlotte-nc/mip/sound-lab-mastering-455285848,
,22,Landon James Video and Photography,(910) 827-7259,"Charlotte, NC 28273",,"Charlotte, NC",2024-01-23 20:31:55,,landonjamesvp@gmail.com,AfterHoursPhone:  (704) 654-9053,,"Recording Service-Sound & Video, Photography & Videography, Video Production Services, Video Production Services-Commercial, Wedding Photography & Videography",,,,,,http://www.yellowpages.com/charlotte-nc/mip/landon-james-video-and-photography-466214332,
,23,Gat3 Recording Program,(704) 525-5552,"655 Pressley Road Suite E, Charlotte, NC 28217",http://www.gat3.com,"Charlotte, NC",2024-01-23 20:31:56,Clanton Park - Roseland,susan@gat3.com,,,"Recording Service-Sound & Video, Educational Services, Music Instruction-Instrumental, Music Schools, Recording Studio Equipment",Regular Hours,Wheelchair Accessible: Yes,Mon - Sun: Open 24 Hours,,,http://www.yellowpages.com/charlotte-nc/mip/gat3-recording-program-467699399,https://i1.ypcdn.com/blob/fd274e09a9adfd51e6d3b8f5801a2a87f8a2e790_228x168_crop.jpg
,24,Studio B Mastering,(704) 372-9661,"821 Louise Ave, Charlotte, NC 28204",http://www.studiobmastering.com,"Charlotte, NC",2024-01-23 20:31:56,Belmont,studiob2@aol.com,,,"Recording Service-Sound & Video, Studio Rental",Regular Hours,Parking: Lot,Mon - Fri: 9:00 am - 6:00 pm,,,http://www.yellowpages.com/charlotte-nc/mip/studio-b-mastering-2473704,https://i4.ypcdn.com/blob/f64ecb32928b692520a7c3e0e9d909d95a141a6f_228x168_crop.jpg
,25,Jasmine Tema Corp,(704) 414-6668,"6047 Nations Ford Rd, Charlotte, NC 28217",,"Charlotte, NC",2024-01-23 20:31:56,Yorkmount,,,,"Recording Service-Sound & Video, Studio Rental",,,,,,http://www.yellowpages.com/charlotte-nc/mip/jasmine-tema-corp-11821667,
,26,Zamar Music Group,(704) 940-4070,"3735 Beam Rd, Charlotte, NC 28217",,"Charlotte, NC",2024-01-23 20:31:56,Eagle Lake,,,,"Recording Service-Sound & Video, Studio Rental",,,,,,http://www.yellowpages.com/charlotte-nc/mip/zamar-music-group-4091851,
,27,Chucks Beats Production Studio,(704) 921-4443,"7027 Orr Road, Charlotte, NC 28213",http://chucksbeatsproduction.webstarts.com,"Charlotte, NC",2024-01-23 20:31:56,"Newell South, Eastway",chucksbeatsproductionstudio@gmail.com,Secretary:  (704) 706-5866 Owner:  (704) 965-1749,,Recording Service-Sound & Video,Regular Hours,,"Mon - Fri: 10:00 am - 10:00 pm, Sat - Sun: 11:00 am - 11:00 pm",,,http://www.yellowpages.com/charlotte-nc/mip/chucks-beats-production-studio-479994716,https://i4.ypcdn.com/blob/764e11b40f0e25741cba4251bce8602e90228a73_228x168_crop.jpg
,28,MARVELOUS RECORDS,(704) 534-4741,"7845 Colony Rd Ste C4, Charlotte, NC 28226",,"Charlotte, NC",2024-01-23 20:31:56,,,,,"Recording Service-Sound & Video, Music Instruction-Instrumental",Regular Hours,,"Mon - Sat: Open 24 Hours, Sun Closed",,,http://www.yellowpages.com/charlotte-nc/mip/marvelous-records-480097773,
,29,Carolina Glamour Studios,(704) 841-2010,"2301 Crownpoint Executive Dr, Charlotte, NC 28227",,"Charlotte, NC",2024-01-23 20:31:56,East Forest,,,,Recording Service-Sound & Video,Regular Hours,,Mon - Fri: 9:00 am - 5:00 pm,,,http://www.yellowpages.com/charlotte-nc/mip/carolina-glamour-studios-12849082,
,30,BNR Studios,(704) 612-0993,"333 W. Trade St. 1E, Charlotte, NC 28202",,"Charlotte, NC",2024-01-23 20:31:56,,Maestro@BNRRecords.com,TollFree:  (866) 480-8412,,"Record Labels, Music Producers, Recording Service-Sound & Video, Recording Studio Equipment",Regular Hours,Wheelchair Accessible: Yes,Mon - Sun: 7:00 am - 7:00 pm,,,http://www.yellowpages.com/charlotte-nc/mip/bnr-studios-467123530,
2,,Mycitymydream.com,(312) 253-7475,"1325 S Wabash Ave, Chicago, IL 60605",https://m.facebook.com/pages/my-city-my-dream-headquartersstudio/774531299224090,"Chicago, IL",2024-01-23 20:31:56,,,,,,,,,,,http://www.yellowpages.com/chicago-il/mip/mycitymydream-com-475537420,
3,,Chicago Recording Co,(312) 822-9333,"232 E Ohio St 1, Chicago, IL 60611",,"Chicago, IL",2024-01-23 20:31:56,"Streeterville, Central Chicago, Near North Side",mikeg@digitalpatches.com,Phone:  (312) 475-0796 Fax:  (312) 822-9189,,"Recording Service-Sound & Video, Studio Rental",Regular Hours,Parking: Lot,Mon - Fri: 8:00 am - 4:00 pm,,"Chicago Recording Company is one of the biggest recording companies of the United States. Established in 1975, it provides all the tools and resources required by the artists. Reference monitoring, custom sound design, sound miner and original music production are some of the options provided by the firm. Discography facilities are also available. The company is closely associated with several other companies for the promotion of its artists, some of them being One Sun Entertainment Group, Stonecutter Records, Secret Frequency and American Mobile.",http://www.yellowpages.com/chicago-il/mip/chicago-recording-co-10127186,https://i4.ypcdn.com/blob/c735197afcc226fcba0cd23b7c20a5cc61033c3c_228x168_crop.jpg
4,,Electrical Audio,(773) 539-2555,"2621 W Belmont Ave, Chicago, IL 60618",http://www.electricalaudio.com,"Chicago, IL",2024-01-23 20:31:56,"Northwest Side, Avondale",info@electricalaudio.com,Phone:  (773) 539-9308,,"Recording Service-Sound & Video, Studio Rental",Regular Hours,,Mon - Sun: 10:00 am - 6:00 pm,,,http://www.yellowpages.com/chicago-il/mip/electrical-audio-744326,https://i3.ypcdn.com/blob/fe2d12c739d1f6bd39ec02ce064fa8ce56464709_228x168_crop.jpg
5,,35th Street Studio,(773) 254-3333,"1658 W 35th St, Chicago, IL 60609",http://35thst.com,"Chicago, IL",2024-01-23 20:31:56,"McKinley Park, Southwest Side",Booking@35thst.com,Phone:  (312) 316-2929,,Recording Service-Sound & Video,Regular Hours,,Mon - Sun: 10:00 am - 4:00 am,,,http://www.yellowpages.com/chicago-il/mip/35th-street-studio-451768403,https://i1.ypcdn.com/blob/3c86c1bd15a94209e76128a94e97fec592db0e39_228x168_crop.jpg
6,,Boiler Room,(773) 525-8551,"3139 N Lincoln Ave Ste 214, Chicago, IL 60657",http://www.brmastering.com,"Chicago, IL",2024-01-23 20:31:56,"North Side, Lakeview",info@brmastering.com,,,"Recording Service-Sound & Video, Studio Rental",,Parking: Lot,,,,http://www.yellowpages.com/chicago-il/mip/boiler-room-7589711,
7,,Mixinspace Studios,(312) 890-4607,"1456 E 55th St, Chicago, IL 60615",,"Chicago, IL",2024-01-23 20:31:56,"Hyde Park, Far South Chicago",,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/chicago-il/mip/mixinspace-studios-525656684,
8,,"Zenergy Recording Studios, LLC",(708) 870-0451,"4255 N Knox Ave, Chicago, IL 60641",,"Chicago, IL",2024-01-23 20:31:56,"Old Irving Park, Northwest Side",,,,Recording Service-Sound & Video,Regular Hours,,Mon - Sun: 12:00 am - 11:59 pm,Music Professionals Dedicated to Independent Artists,Tracking / Mixing / Mastering / Rehearsal Suits / Audio Restoration / Freelance Suites,http://www.yellowpages.com/chicago-il/mip/zenergy-recording-studios-llc-532806159,https://i4.ypcdn.com/blob/7ae786ac324a1a10a55b677f7acb422c5e9c7f6a_228x168_crop.jpg
9,,Alligator Records & Artist Management,(773) 973-7736,"1441 W Devon Ave, Chicago, IL 60660",http://www.alligator.com,"Chicago, IL",2024-01-23 20:31:56,"North Side, Rogers Park, Edgewater",information@alligator.com,Fax:  (773) 973-2088 TollFree:  (800) 344-5609,,Recording Service-Sound & Video,Regular Hours,,Mon - Sun: Open 24 Hours,,"Founded in 1971, Alligator Records is home to some of the world s premier blues and roots rock talent and of the contemporary blues record label in the world. The company offers the latest news, artist bios and tour dates, as well as and CDs and other blues-related merchandise. It is also involved in the Internet music-downloading world, working to almost all of the legitimate download services. Alligator Records also has online store for it customers offering CDs by world-class blues veterans like Koko Taylor, Son Seals, Luther Allison, Charlie Musselwhite, Lonnie Brooks, James Cotton and Buddy Guy. It also offers recordings by the artists such as Junior Wells, Albert Collins, Carey Bell, Clarence  Gatemouth  Brown, Elvin Bishop, Katie Webster, Billy Boy Arnold, Long John Hunter and John Jackson. Alligator Records is located in Chicago.",http://www.yellowpages.com/chicago-il/mip/alligator-records-artist-management-9297941,https://i3.ypcdn.com/blob/b9cc5ba6f97762c527a320fd0ad11861c1124bf5_228x168_crop.jpg
10,,Make it Happen Organization LLC,(708) 770-4074,"1440 W Taylor Street Unit 2505, Chicago, IL 60607",https://makeithappenorganizationllc.business.site/?utm_source=gmb&utm_medium=referral,"Chicago, IL",2024-01-23 20:31:56,,info@makeithappenorganizationllc.com,,,"Recording Service-Sound & Video, Music Producers, Studio Rental",Regular Hours,,Mon - Sun: 9:00 am - 8:00 pm,,"Make it Happen Organization LLC is a locally owned and operated business serving the greater Chicago area.  We provide studio time, create music videos, and engineer music.  Call now to book studio time.",http://www.yellowpages.com/chicago-il/mip/make-it-happen-organization-llc-573444366,
11,,Gravity Studios,(773) 862-1880,"2250 W North Ave, Chicago, IL 60647",http://www.gravitystudios.com,"Chicago, IL",2024-01-23 20:31:56,"Bucktown, Northwest Side",gravitystudios@ameritech.net,Phone:  (773) 661-9465,,"Recording Service-Sound & Video, Studio Rental",Regular Hours,,Mon - Sun: 10:00 am - 12:00 am,,"Professional Music Recording, Mixing, and Mastering Studio since 1993. Gravity Studios is a home for all Audio Engineers, Producers, Musicians, and Creative Thinkers. Whether your genre is Indie, Rock, Alt Country, Gospel, Neo Soul, Punk, CCM - we do it all.  
 
 
Our Producers and Engineers are the best in Chicago and love what they do. If you need to Master an EP, Mix an Album, or develop your sound from the ground up - we're ready. Are you? Come find out.  
 
 
For questions or booking, email us at info@gravitystudios.com, visit us at www.gravitystudios.com, or just give us a call at 773-862-1880.",http://www.yellowpages.com/chicago-il/mip/gravity-studios-4602995,https://i1.ypcdn.com/blob/5fabd1ef66433ca9a254998c33f5a9e3decb60d0_228x168_crop.jpg
12,,Horse Drawn Productions,(773) 463-7970,"3325 N Central Park Ave, Chicago, IL 60618",http://www.horse-drawnproductions.com,"Chicago, IL",2024-01-23 20:31:56,"Northwest Side, Avondale",,,,"Recording Service-Sound & Video, Studio Rental",Regular Hours,,Mon - Sun: Open 24 Hours,,,http://www.yellowpages.com/chicago-il/mip/horse-drawn-productions-496593922,https://i2.ypcdn.com/blob/8b2fd4b55857100385d013d0c4565fc6ab2f6945_228x168_crop.jpg
13,,Recording Connection Audio Institute,(773) 900-5057,"1658 W 35th St, Chicago, IL 60609",https://recordingconnection.com/school-locations/chicago,"Chicago, IL",2024-01-23 20:31:56,,recording@rrfedu.com,,,"Recording Service-Sound & Video, Music Schools",Regular Hours,,Mon - Sun: Open 24 Hours,,"The Recording Connection alternative music school uses the mentor-apprentice approach to learning audio. Students learn in one-on-one sessions with their mentor, a well-respected local audio engineer, music producer, or EDM producer inside their recording studio. Recording Connection students spend a minimum of ten hours a week externing in an established Chicago recording studio where they gain real-world experience in addition to taking a structured course curriculum.",http://www.yellowpages.com/chicago-il/mip/recording-connection-audio-institute-570902457,https://i4.ypcdn.com/blob/ef90bf56c8afa5f59a9950f66b9494a4dd5fc9c6_228x168_crop.jpg
14,,Audio Recording Unlimited,(312) 527-7000,"625 N Michigan Ave Ste 2400, Chicago, IL 60611",http://www.aruchicago.com,"Chicago, IL",2024-01-23 20:31:56,"Streeterville, Central Chicago, Near North Side",M.K@aruchicago.com,Phone:  (312) 527-3360 Fax:  (312) 527-3360,,Recording Service-Sound & Video,Regular Hours,,Mon - Fri: 8:30 am - 5:30 pm,,,http://www.yellowpages.com/chicago-il/mip/audio-recording-unlimited-481702003,https://i2.ypcdn.com/blob/d3fe2d0a02257183cd540ed8f1af9fe3b525e2a3_228x168_crop.jpg
15,,Visionz Audio Recording,(312) 774-4271,"13331 S Avenue O, Chicago, IL 60633",,"Chicago, IL",2024-01-23 20:31:56,,,,,Recording Service-Sound & Video,Regular Hours,,Mon - Sun: Open 24 Hours,,recording studio,http://www.yellowpages.com/chicago-il/mip/visionz-audio-recording-552181823,
16,,Stonecutter Studios,(312) 698-9977,"1719 S Clinton St, Chicago, IL 60616",http://www.stonecutterstudios.com,"Chicago, IL",2024-01-23 20:31:57,"Pilsen, West Side, East Pilsen",info@stonecutterstudios.com,Phone:  (312) 451-7576,,"Recording Service-Sound & Video, Studio Rental",,,,,,http://www.yellowpages.com/chicago-il/mip/stonecutter-studios-514187824,https://i1.ypcdn.com/blob/0e4eaa913610aaebe716ca8a5644c45a7413f113_228x168_crop.jpg
17,,Nimeh Corp,(773) 551-5537,"2248 S Michigan Ave, Chicago, IL 60616",,"Chicago, IL",2024-01-23 20:31:56,"Central Chicago, South Loop",,,,"Recording Service-Sound & Video, Recording Studio Equipment, Studio Rental",,,,,,http://www.yellowpages.com/chicago-il/mip/nimeh-corp-512624978,
18,,Phonology,(312) 733-7529,"1856 W Grand Ave, Chicago, IL 60622",,"Chicago, IL",2024-01-23 20:31:57,"West Side, West Town",052kk@phonology-it.comwww.phonology.in,,,"Recording Service-Sound & Video, Studio Rental",Regular Hours,,Mon - Sun: Open 24 Hours,,,http://www.yellowpages.com/chicago-il/mip/phonology-14510569,https://i3.ypcdn.com/blob/f32b4f177415a806b2aadd1dd24ef5aad38c485e_228x168_crop.jpg
19,,Joyride,(773) 533-1880,"3028 W Chicago Ave, Chicago, IL 60622",http://www.joyride-studio.com/about-us,"Chicago, IL",2024-01-23 20:31:57,"Northwest Side, Humboldt Park",blaise@joyride-studio.com,,,"Recording Service-Sound & Video, Studio Rental",,,,,,http://www.yellowpages.com/chicago-il/mip/joyride-28549844,https://i2.ypcdn.com/blob/da7c63498c182c1813b2cbda04f489a6ca6c7210_228x168_crop.jpg
20,,Boiler Room,(773) 525-8551,"1440 N Western Ave, Chicago, IL 60622",http://brmastering.com,"Chicago, IL",2024-01-23 20:31:57,,,Phone:  (773) 525-8553,,"Recording Service-Sound & Video, Studio Rental",Regular Hours,,Mon - Sun: Open 24 Hours,,,http://www.yellowpages.com/chicago-il/mip/boiler-room-534165134,
21,,Consumer Recording,(773) 525-5980,"2443 N Clybourn Ave, Chicago, IL 60614",,"Chicago, IL",2024-01-23 20:31:57,"DePaul, North Side, Lathrop",,,,"Recording Service-Sound & Video, Studio Rental",,,,,,http://www.yellowpages.com/chicago-il/mip/consumer-recording-3557945,
22,,Royal Famleecuts,(773) 863-1444,"6611 S Talman Ave, Chicago, IL 60629",,"Chicago, IL",2024-01-23 20:31:57,"South Side, Marquette Park",,,,"Recording Service-Sound & Video, Studio Rental",,,,,,http://www.yellowpages.com/chicago-il/mip/royal-famleecuts-507513211,
23,,Miller Street Studios,(773) 789-9553,"1913 S Miller St, Chicago, IL 60608",http://www.millerstreetstudios.com,"Chicago, IL",2024-01-23 20:31:57,"Pilsen, West Side",millerstreetstudios@gmail.com,Phone:  (312) 714-2844,,Recording Service-Sound & Video,Regular Hours,Parking: Street,Mon - Sun: 9:00 am - 12:00 am,,,http://www.yellowpages.com/chicago-il/mip/miller-street-studios-521157607,
24,,Caterco Recording,(312) 488-0537,"500 W Cermak Rd, Chicago, IL 60616",,"Chicago, IL",2024-01-23 20:31:57,"Pilsen, West Side, East Pilsen",,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/chicago-il/mip/caterco-recording-510665303,
25,,DoneDeal Records Inc. Wold Wide,(773) 220-5403,"1357 S Blue Island Ave Apt E1, Chicago, IL 60608",,"Chicago, IL",2024-01-23 20:31:58,"University Village - Little Italy, West Side",,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/chicago-il/mip/donedeal-records-inc-wold-wide-498209790,
26,,Ikan Creations,(312) 204-7333,"2010 S Wabash Ave, Chicago, IL 60616",https://ikancreations.com,"Chicago, IL",2024-01-23 20:31:58,,,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/chicago-il/mip/ikan-creations-526885047,
27,,Concord Music Group Inc,(312) 759-9900,"1 S Dearborn St, Chicago, IL 60603",http://concordmusicgroup.com,"Chicago, IL",2024-01-23 20:31:59,,,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/chicago-il/mip/concord-music-group-inc-564285049,
28,,Stateway Records,(312) 254-9530,"122 S Michigan Ave Ste 1390, Chicago, IL 60603",,"Chicago, IL",2024-01-23 20:31:56,,info@statewayrecords.com,,,"Recording Service-Sound & Video, Recording Studio Equipment",Regular Hours,,Mon - Fri: 9:00 am - 5:00 pm,,,http://www.yellowpages.com/chicago-il/mip/stateway-records-568114308,
29,,Static Studios Inc,(312) 829-1184,"159 N Racine Ave, Chicago, IL 60607",,"Chicago, IL",2024-01-23 20:31:59,"West Side, West Town, Fulton Market",,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/chicago-il/mip/static-studios-inc-459604830,
30,,Demo Duck Inc.,(312) 487-1414,"210 N Racine Ave Ste 35, Chicago, IL 60607",,"Chicago, IL",2024-01-23 20:31:54,,marketing@demoduck.com,,,"Recording Service-Sound & Video, Video Production Services",,,,,,http://www.yellowpages.com/chicago-il/mip/demo-duck-inc-504130944,
,18,Watson World Music,(773) 952-7439,"4800 S Indiana Ave, Chicago, IL 60615",http://watsonworldmusic.org,"Chicago, IL",2024-01-23 20:31:56,,awalceo@comcast.net,Phone:  (773) 633-2572 Fax Number:  (773) 952-7439,,"Recording Service-Sound & Video, Recording Studio Equipment",Regular Hours,,Mon - Sun: Open 24 Hours,,,http://www.yellowpages.com/chicago-il/mip/watson-world-music-539052818,
,2,Don Gee / DCG Music,(813) 785-4546,"1005 W Busch Blvd Ste 203, Tampa, FL 33612",,"Tampa, FL",2024-01-23 20:32:26,"Northwest Tampa, Forest Hills",dongee.ceo@gmail.com,MobilePhone:  (813) 785-4546,,"Recording Service-Sound & Video, Graphic Designers, Musicians, Production Companies-Film, TV, Radio, Etc, Recording Studio Equipment",Regular Hours,,"Mon - Fri: 10:00 am - 10:00 pm, Sat: 1:00 pm - 11:00 pm, Sun: 1:00 pm - 10:00 pm",,,http://www.yellowpages.com/tampa-fl/mip/don-gee-dcg-music-480208463,
,3,Teach The Dream,(813) 340-6126,"Tampa, FL 33614",http://www.teachthedream.com,"Tampa, FL",2024-01-23 20:32:26,,john@teachthedream.com,,,Recording Service-Sound & Video,,,,Enhance A Musical Economy.,"John Seda's thoughts: 
 
 
The title of the song means simply to pass on the knowledge that YOU have obtained in your life to others. This tribute to teachers is a statement and acknowledgement of HOW important they are to US. We face a brighter future if we care for those WHO have shared and advised US to become better. We are responsible for OUR actions and because of this we should take responsibility for OUR future generations. Education is the KEY to real freedom. Please remember to Teach The Dream. Sincerely. John Seda president / Rising Sun Music",http://www.yellowpages.com/tampa-fl/mip/teach-the-dream-457780148,
,4,Tampa Recording Studio,(813) 407-8598,"5506 S Manhattan Ave, Tampa, FL 33611",http://www.tamparecording.com,"Tampa, FL",2024-01-23 20:32:26,"Southwest Tampa, Sun Bay South",,,,"Recording Service-Sound & Video, Audio-Visual Production Services, Music Producers, Recording Studio Equipment, Studio Rental",Regular Hours,,Mon - Sun: 9:00 am - 11:00 pm,Small company with a BIG SOUND!,"Tampa Recording is a locally owned and operated music production company in South Tampa, offering affordable audio and recording services by appointment.",http://www.yellowpages.com/tampa-fl/mip/tampa-recording-studio-507840481,https://i3.ypcdn.com/blob/6f4b70221a063041e3e99b33b0e83d6d92d534bf_228x168_crop.jpg
,5,Earthtone Music Productions,(917) 582-8039,"15111 Pleasant Harbour Way, Tampa, FL 33602",http://www.earthtonemusic.net,"Tampa, FL",2024-01-23 20:32:26,,,,,"Recording Service-Sound & Video, Music Instruction-Instrumental, Music Producers",,,,,"Music production for film and television as well as for independent artists. HipHop, R&B, Gospel, Pop, EDM, Caribbean, Reggae, Dancehall, Soundtrack, Rock, Ambient. We have been in business since 2001. In addition to music production we also provide recording services - both in our studio or we can go mobile. Anywhere within the Tampa Bay Area. Up to 24 inputs. We can record your band, your gig, your event or ceremony. We record each instrument or signal source separately to give you a studio quality multitrack recording",http://www.yellowpages.com/tampa-fl/mip/earthtone-music-productions-530937162,
,6,Progressive Media Inc,(813) 251-8093,"2116 W Southview Ave, Tampa, FL 33606",http://progressivecds.com,"Tampa, FL",2024-01-23 20:32:26,"Southwest Tampa, Historic Hyde Park North",info@progressivecds.com,Phone:  (813) 251-6050,,"Recording Service-Sound & Video, Audio-Visual Production Services, Video Production Services, Video Production Services-Commercial",Regular Hours,Parking: Lot,"Mon - Fri: 9:00 am - 6:00 pm, Sat - Sun Closed",33 years of honest success,33 years of honest success,http://www.yellowpages.com/tampa-fl/mip/progressive-media-inc-2718109,https://i2.ypcdn.com/blob/7b43c672d02acf7d5291e0c159e9b931afce8639_228x168_crop.jpg
